filename,fold,target,category,esc10,src_file,take,file_path,yamnet_prediction,confidence
1-24524-C-19.wav,1,19,thunderstorm,False,24524,C,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-24524-C-19.wav,Explosion,0.19727937877178192
1-115546-A-48.wav,1,48,fireworks,False,115546,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-115546-A-48.wav,Fireworks,0.8905551433563232
2-70939-A-42.wav,2,42,siren,False,70939,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/2-70939-A-42.wav,Siren,0.9239428639411926
3-145577-A-43.wav,3,43,car_horn,False,145577,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-145577-A-43.wav,"Vehicle horn, car horn, honking",0.5136511325836182
3-119120-E-48.wav,3,48,fireworks,False,119120,E,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-119120-E-48.wav,Explosion,0.7682211399078369
4-176638-A-43.wav,4,43,car_horn,False,176638,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-176638-A-43.wav,"Vehicle horn, car horn, honking",0.7758420705795288
5-221529-A-39.wav,5,39,glass_breaking,False,221529,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-221529-A-39.wav,Breaking,0.7010505199432373
2-54086-A-43.wav,2,43,car_horn,False,54086,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/2-54086-A-43.wav,"Vehicle horn, car horn, honking",0.7930495142936707
1-17124-A-43.wav,1,43,car_horn,False,17124,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-17124-A-43.wav,"Vehicle horn, car horn, honking",0.9370259046554565
3-62878-B-42.wav,3,42,siren,False,62878,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-62878-B-42.wav,Siren,0.8865663409233093
1-85184-A-39.wav,1,39,glass_breaking,False,85184,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-85184-A-39.wav,Glass,0.8181969523429871
5-160614-B-48.wav,5,48,fireworks,False,160614,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-160614-B-48.wav,Fireworks,0.6094244718551636
3-152007-A-20.wav,3,20,crying_baby,True,152007,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-152007-A-20.wav,"Crying, sobbing",0.4020980894565582
4-175846-A-43.wav,4,43,car_horn,False,175846,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-175846-A-43.wav,"Vehicle horn, car horn, honking",0.6461560130119324
3-151081-B-20.wav,3,20,crying_baby,True,151081,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-151081-B-20.wav,"Crying, sobbing",0.7256554365158081
5-198411-F-20.wav,5,20,crying_baby,True,198411,F,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-198411-F-20.wav,"Crying, sobbing",0.47525811195373535
4-212698-A-39.wav,4,39,glass_breaking,False,212698,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-212698-A-39.wav,Explosion,0.29045435786247253
1-211527-C-20.wav,1,20,crying_baby,True,211527,C,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-211527-C-20.wav,"Crying, sobbing",0.6925153732299805
4-119648-B-48.wav,4,48,fireworks,False,119648,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-119648-B-48.wav,Fireworks,0.878800630569458
3-174840-A-43.wav,3,43,car_horn,False,174840,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-174840-A-43.wav,Fire alarm,0.7972519993782043
3-203373-A-39.wav,3,39,glass_breaking,False,203373,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-203373-A-39.wav,"Chink, clink",0.9136273264884949
1-23222-B-19.wav,1,19,thunderstorm,False,23222,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-23222-B-19.wav,Thunderstorm,0.16498443484306335
5-233607-A-39.wav,5,39,glass_breaking,False,233607,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-233607-A-39.wav,Glass,0.842444121837616
1-28808-A-43.wav,1,43,car_horn,False,28808,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-28808-A-43.wav,Vehicle,0.6446576118469238
4-185575-C-20.wav,4,20,crying_baby,True,185575,C,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-185575-C-20.wav,Babbling,0.39490044116973877
4-119647-D-48.wav,4,48,fireworks,False,119647,D,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-119647-D-48.wav,Fireworks,0.5891916155815125
1-187207-A-20.wav,1,20,crying_baby,True,187207,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-187207-A-20.wav,Speech,0.291110634803772
5-156999-C-19.wav,5,19,thunderstorm,False,156999,C,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-156999-C-19.wav,Thunderstorm,0.5964246392250061
5-260432-A-39.wav,5,39,glass_breaking,False,260432,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-260432-A-39.wav,Glass,0.835224986076355
4-119648-C-48.wav,4,48,fireworks,False,119648,C,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-119648-C-48.wav,Fireworks,0.5537821054458618
3-103050-A-19.wav,3,19,thunderstorm,False,103050,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-103050-A-19.wav,Thunderstorm,0.3012518584728241
5-198411-D-20.wav,5,20,crying_baby,True,198411,D,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-198411-D-20.wav,"Crying, sobbing",0.40464508533477783
1-254507-A-43.wav,1,43,car_horn,False,254507,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-254507-A-43.wav,Vehicle,0.6128694415092468
4-204777-A-39.wav,4,39,glass_breaking,False,204777,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-204777-A-39.wav,Glass,0.8347312808036804
1-23222-A-19.wav,1,19,thunderstorm,False,23222,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-23222-A-19.wav,Explosion,0.23596064746379852
2-151079-A-20.wav,2,20,crying_baby,True,151079,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/2-151079-A-20.wav,"Crying, sobbing",0.6500633358955383
5-117118-A-42.wav,5,42,siren,False,117118,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-117118-A-42.wav,Siren,0.40196627378463745
2-112213-B-39.wav,2,39,glass_breaking,False,112213,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/2-112213-B-39.wav,Glass,0.7354525327682495
2-39945-B-19.wav,2,19,thunderstorm,False,39945,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/2-39945-B-19.wav,Explosion,0.4088113307952881
4-185575-B-20.wav,4,20,crying_baby,True,185575,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-185575-B-20.wav,"Crying, sobbing",0.32941001653671265
5-198411-C-20.wav,5,20,crying_baby,True,198411,C,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-198411-C-20.wav,"Crying, sobbing",0.21139943599700928
3-151081-A-20.wav,3,20,crying_baby,True,151081,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-151081-A-20.wav,"Crying, sobbing",0.9602681994438171
5-184323-A-42.wav,5,42,siren,False,184323,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/5-184323-A-42.wav,Siren,0.954960823059082
1-22694-A-20.wav,1,20,crying_baby,True,22694,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-22694-A-20.wav,"Crying, sobbing",0.9550091028213501
4-125070-A-19.wav,4,19,thunderstorm,False,125070,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-125070-A-19.wav,Thunderstorm,0.3060065805912018
2-138465-A-43.wav,2,43,car_horn,False,138465,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/2-138465-A-43.wav,Vehicle,0.4342883229255676
4-167077-B-20.wav,4,20,crying_baby,True,167077,B,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/4-167077-B-20.wav,"Crying, sobbing",0.7706480026245117
1-76831-C-42.wav,1,42,siren,False,76831,C,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/1-76831-C-42.wav,Siren,0.9294363260269165
3-51909-A-42.wav,3,42,siren,False,51909,A,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/3-51909-A-42.wav,Siren,0.5230234265327454
2-117615-E-48.wav,2,48,fireworks,False,117615,E,/kaggle/input/esc50-audio-dataset/ESC-50-master/ESC-50-master/audio/2-117615-E-48.wav,Thunk,0.31500157713890076
